1st accuracy,2ns accuracy,3rd accuracy,4th accuracy,5th accuracy,6th accuracy,7th accuracy,8th accuracy,9th accuracy,10th accuracy,Average accuracy,1st time,2ns time,3rd time,4th time,5th time,6th time,7th time,8th time,9th time,10th time,Average time
2.7214026,3.0915995,6.654147,1.8309412,5.2130785,4.9329147,5.8345423,3.470891,2.0867434,5.374879,4.121114,1776,2745,4192,5415,6391,7519,8655,10096,11144,12368,7030.1
3.652821,2.6100197,3.3061335,2.5665917,2.9076922,1.003124,2.802473,5.002692,5.6722336,5.023409,3.8001907,2191,3636,4867,6404,7629,8604,9597,10904,12249,13125,8712.66
5.079727,2.8602939,2.516048,3.2230277,1.641185,2.6665523,4.359641,4.5856357,4.0256433,2.5992706,3.3557022,1907,2956,3911,4666,5756,6778,7770,8987,9954,10940,6362.5
2.1095757,6.64796,4.7294383,2.4835203,3.4518285,1.975819,1.595618,4.0594482,3.6094987,5.366191,3.9631786,1818,2718,3686,4611,5606,6557,7918,8892,9941,11293,6934.4
2.780451,5.6961827,7.1539207,0.64173174,4.69796,2.4184225,1.9275261,5.0218697,2.806374,4.9808455,4.1937814,1660,2611,3618,4722,5954,7130,8314,9507,10675,11698,7247.79
2.633236,4.866217,2.5837514,3.4944196,4.501221,2.0987906,1.873767,3.2149146,5.0897684,0.90506047,3.1261146,2253,3276,4412,5411,6380,7219,8324,9341,10508,11468,6859.2
5.013765,4.2070575,6.0604477,4.006144,3.3009727,2.3762631,6.892786,4.5146904,5.2994733,4.1079645,4.577956,1860,2898,3852,4650,5803,6779,7827,8819,9739,11372,6359.9
2.9720533,3.2695231,2.0755765,2.8835475,2.8465543,0.5801422,3.4354737,4.9509563,5.138589,3.3797953,3.4685435,2220,3628,4811,5876,6987,7891,9012,10092,11164,12244,8131.75
3.412802,0.8272429,0.48608908,2.3697891,2.0133853,5.154185,3.8352869,2.6029348,5.168288,3.0300949,3.1790109,1996,3010,4146,5258,6810,7786,8706,9778,11011,12074,7763.25
2.0774617,2.8787854,2.142083,1.5715729,3.835683,0.44666106,1.1284344,3.245702,1.6288786,3.9622087,2.2917469,1592,2726,3910,5061,6670,8127,9533,10526,11590,12861,7985.56
0.80302536,2.3578289,2.4914846,2.7909396,5.1613417,2.2398953,4.3426156,3.3155196,5.7699876,2.368996,3.164163,2916,3906,4954,6033,7057,8186,9510,10875,11842,13282,7856.1
4.565523,3.5250587,2.406321,1.1457783,4.324524,3.707366,2.876717,2.8762133,3.0142705,3.3702738,3.1812046,2172,3296,4402,5696,7097,8402,9457,10626,11618,12874,7564.0
1.887089,1.9952246,2.4530954,1.1980816,1.5461347,1.8231028,0.1841478,2.6052954,2.8546915,1.5896957,1.8136559,2483,4049,5440,6393,7440,8297,9345,10145,11073,12202,7686.7
2.944304,4.41785,3.906684,1.5261619,4.0074773,1.0208771,3.2476926,2.7406833,1.6634158,4.0879097,3.2519364,2296,3183,4128,5199,6128,7328,8673,9969,10863,11928,7666.45
1.9576743,5.458292,1.9606264,1.566056,3.4471843,2.4724212,2.7466016,1.3367941,1.633831,2.2009187,2.725844,2349,3154,4499,5682,6675,8012,9122,10018,10955,11867,7956.63
3.929373,2.948873,3.2785969,1.7916752,1.7717906,5.4411845,2.018522,1.0459447,1.4392078,3.707997,3.011048,1903,2999,4352,5391,6263,7127,8568,9983,11304,12103,7699.2295
1.90921,4.4899225,4.729229,2.8915815,4.432194,2.771387,0.6337593,1.6983874,6.0894585,2.7852614,3.243039,2269,3187,4172,5035,6148,7371,8423,9355,10724,12044,6872.8
3.197538,1.8481345,1.162364,3.9349957,5.3475466,3.7421308,4.6660013,1.9309833,2.0261395,4.9806495,3.2836483,1557,2682,3636,4540,5587,6588,7531,8755,9731,10811,6141.8
5.0054617,3.564004,1.6465824,1.7678636,4.931037,4.6548915,3.0749907,3.8508635,2.819823,1.4949254,3.6091487,1812,3090,4090,5050,5922,7147,8170,9538,10490,11651,7365.6
2.0845783,2.3252616,3.6161175,3.7626514,3.0224702,2.2888498,1.1858261,5.179011,2.1119916,2.9853551,2.8562112,1929,2995,4106,5570,6705,7802,8690,9898,10986,11898,7057.9
